Long-term drift test started. Press Ctrl+C to stop.
TSC available: true

     sec       static(ns)       online(ns)   st_std(ns)   on_std(ns)     st_drift       st_ppm     on_drift       on_ppm
     249     249039480479     249039510794 249039505771 249039505891       -25292    -0.101558         4903     0.019688
     250     250039597667     250039663903 250039623049 250039623540       -25382    -0.101512        40363     0.161426
     251     251039728119     251039726805 251039753604 251039753744       -25485    -0.101518       -26939    -0.107310
     252     252039835509     252039880647 252039861096 252039861267       -25587    -0.101520        19380     0.076893
     253     253039924675     253039929342 253039950373 253039950503       -25698    -0.101557       -21161    -0.083627
     254     254040028037     254040054169 254040053837 254040053978       -25800    -0.101559          191     0.000752
     255     255040142550     255040184971 255040168444 255040168664       -25894    -0.101529        16307     0.063939
     256     256040280737     256040287452 256040306732 256040306862       -25995    -0.101527       -19410    -0.075808
     257     257040413444     257040424695 257040439529 257040439660       -26085    -0.101482       -14965    -0.058220
     258     258040522587     258040539883 258040548785 258040548975       -26198    -0.101527        -9092    -0.035235
     259     259040672105     259040692992 259040698405 259040698535       -26300    -0.101528        -5543    -0.021398
     260     260040775297     260040804519 260040801698 260040801839       -26401    -0.101526         2680     0.010306
     261     261040873519     261040917136 261040900032 261040900172       -26513    -0.101566        16964     0.064986
     262     262040980478     262040999127 262041007094 262041007234       -26616    -0.101572        -8107    -0.030938
     263     263041081887     263041102716 263041108594 263041108734       -26707    -0.101532        -6018    -0.022879
     264     264041189347     264041227113 264041216155 264041216315       -26808    -0.101530        10798     0.040895
     265     265042046484     265042084376 265042073393 265042073674       -26909    -0.101527        10702     0.040378
     266     266042178940     266042191753 266042205953 266042206093       -27013    -0.101537       -14340    -0.053901
     267     267042262315     267042280873 267042289440 267042289571       -27125    -0.101576        -8698    -0.032572
     268     268042361930     268042407165 268042389157 268042389287       -27227    -0.101577        17878     0.066698
     269     269042473318     269042490592 269042500637 269042500797       -27319    -0.101542       -10205    -0.037931
     270     270042638515     270042671869 270042665938 270042666248       -27423    -0.101551         5621     0.020815
     271     271042760622     271042777848 271042788157 271042788287       -27535    -0.101589       -10439    -0.038514
     272     272042868893     272042890442 272042896521 272042896711       -27628    -0.101558        -6269    -0.023044
     273     273043068194     273043091072 273043095834 273043095954       -27640    -0.101229        -4882    -0.017880
     274     274043191814     274043216831 274043219656 274043219776       -27842    -0.101597        -2945    -0.010746
     275     275043298683     275043327165 275043326627 275043326787       -27944    -0.101599          378     0.001374
     276     276043398909     276043450459 276043426946 276043427267       -28037    -0.101567        23192     0.084016
     277     277043569908     277043588107 277043598045 277043598176       -28137    -0.101562       -10069    -0.036344
     278     278043670605     278043695345 278043698847 278043698977       -28242    -0.101574        -3632    -0.013063
     279     279044176047     279044255014 279044204388 279044204669       -28341    -0.101565        50345     0.180419
     280     280044338499     280044344126 280044366957 280044367087       -28458    -0.101620       -22961    -0.081991
     281     281044472739     281044487603 281044501288 281044501569       -28549    -0.101582       -13966    -0.049693
     282     282044577273     282044597650 282044605936 282044606066       -28663    -0.101626        -8416    -0.029839
     283     283044669765     283044724176 283044698533 283044698794       -28768    -0.101638        25382     0.089675
     284     284044773868     284044792652 284044802739 284044802889       -28871    -0.101642       -10237    -0.036040
     285     285044876038     285044895647 285044905012 285044905182       -28974    -0.101647        -9535    -0.033451
     286     286044965374     286044987918 286044994440 286044994801       -29066    -0.101613        -6883    -0.024063
     287     287045078565     287045108094 287045107732 287045107882       -29167    -0.101611          212     0.000739
     288     288045182648     288045211017 288045211927 288045212077       -29279    -0.101647        -1060    -0.003680
     289     289045287844     289045315508 289045317214 289045317364       -29370    -0.101610        -1856    -0.006421
     290     290045396336     290045424886 290045425778 290045425978       -29442    -0.101508        -1092    -0.003765
     291     291045480572     291045506476 291045510149 291045510279       -29577    -0.101623        -3803    -0.013067
     292     292045586699     292045629324 292045616379 292045616510       -29680    -0.101628        12814     0.043877
     293     293046059631     293046109886 293046089410 293046089641       -29779    -0.101619        20245     0.069085
     294     294046212224     294046226814 294046241986 294046242297       -29762    -0.101215       -15483    -0.052655
     295     295046356262     295046378974 295046386254 295046386384       -29992    -0.101652        -7410    -0.025115
     296     296046440599     296046467516 296046470693 296046470834       -30094    -0.101653        -3318    -0.011208
     297     297046548259     297046579286 297046578456 297046578837       -30197    -0.101657          449     0.001512
     298     298046666920     298046691649 298046697218 298046697349       -30298    -0.101655        -5700    -0.019125
     299     299046751668     299046783360 299046782066 299046782197       -30398    -0.101650         1163     0.003889
     300     300046836685     300046891622 300046867186 300046867326       -30501    -0.101654        24296     0.080974
     301     301046924579     301046948659 301046955181 301046955311       -30602    -0.101652        -6652    -0.022096
     302     302047008875     302047030860 302047039569 302047039729       -30694    -0.101620        -8869    -0.029363
     303     303047094925     303047120254 303047125729 303047125870       -30804    -0.101648        -5616    -0.018532
     304     304047160146     304047199826 304047191053 304047191243       -30907    -0.101652         8583     0.028229
     305     305047401726     305047455312 305047432594 305047433125       -30868    -0.101191        22187     0.072733
     306     306047537609     306047550904 306047568719 306047568839       -31110    -0.101651       -17935    -0.058602
     307     307047626234     307047653825 307047657435 307047657575       -31201    -0.101616        -3750    -0.012213
     308     308047733553     308047761684 308047764867 308047765087       -31314    -0.101653        -3403    -0.011047
     309     309047832056     309047873955 309047863463 309047863753       -31407    -0.101625        10202     0.033011
     310     310047939286     310047962366 310047970673 310047971004       -31387    -0.101233        -8638    -0.027860
     311     311048033521     311048060364 311048065143 311048065283       -31622    -0.101663        -4919    -0.015814
     312     312048117066     312048159432 312048148789 312048148950       -31723    -0.101661        10482     0.033591
     313     313048230657     313048284077 313048262484 313048262745       -31827    -0.101668        21332     0.068143
     314     314048333228     314048345218 314048365160 314048365290       -31932    -0.101679       -20072    -0.063914
     315     315048418777     315048446300 315048450801 315048450961       -32024    -0.101648        -4661    -0.014795
     316     316048504206     316048533407 316048536331 316048536471       -32125    -0.101646        -3064    -0.009695
     317     317048589344     317048627347 317048621580 317048621721       -32236    -0.101675         5626     0.017745
     318     318048671466     318048711057 318048703795 318048703925       -32329    -0.101648         7132     0.022424
     319     319048752387     319048774187 319048784817 319048784958       -32430    -0.101646       -10771    -0.033760
     320     320048838437     320048873358 320048870968 320048871159       -32531    -0.101644         2199     0.006871
     321     321048925198     321048954198 321048957841 321048957992       -32643    -0.101676        -3794    -0.011818
     322     322048991090     322049062464 322049023826 322049024046       -32736    -0.101649        38418     0.119292
     323     323049134898     323049171289 323049167745 323049168276       -32847    -0.101678         3013     0.009327
     324     324049377860     324049426908 324049410799 324049411050       -32939    -0.101648        15858     0.048937
     325     325049496952     325049532454 325049530003 325049530514       -33051    -0.101680         1940     0.005968
     326     326049629849     326049727566 326049663003 326049663384       -33154    -0.101684        64182     0.196847
